village_id,slug,name,country,lat,lng,date,pending,marker_type,portal_url
57,domanivka-domanevka-domanovca-mykolaiv-ukraine,"Domanivka (Domanevka, Domanovca)",Ukraine,47.385880,30.587799,,0,2,http://www.yahadmap.org/en/domanivka-domanevka-domanovca-mykolaiv-ukraine/village-57
57,domanivka-domanevka-domanovca-mykolaiv-ukraine,"Domanivka (Domanevka, Domanovca)",Ukraine,47.380001,30.596800,,0,2,http://www.yahadmap.org/en/domanivka-domanevka-domanovca-mykolaiv-ukraine/village-57
58,donetsk-donetsk-ukraine,Donetsk,Ukraine,47.595100,37.504181,,0,3,http://www.yahadmap.org/en/donetsk-donetsk-ukraine/village-58
59,dovbysh-former-marchlewsk-makhlevsk-zhytomyr-ukraine,Dovbysh (Former Marchlewsk/Makhlevsk),Ukraine,50.218189,27.599979,,0,1,http://www.yahadmap.org/en/dovbysh-former-marchlewsk-makhlevsk-zhytomyr-ukraine/village-59
60,dovgivka-former-jewish-colony-n-8-dnipropetrovsk-ukraine,Dovgivka (Former Jewish colony N°8),Ukraine,47.553532,34.175190,,0,1,http://www.yahadmap.org/en/dovgivka-former-jewish-colony-n-8-dnipropetrovsk-ukraine/village-60
60,dovgivka-former-jewish-colony-n-8-dnipropetrovsk-ukraine,Dovgivka (Former Jewish colony N°8),Ukraine,47.582150,34.129200,,0,1,http://www.yahadmap.org/en/dovgivka-former-jewish-colony-n-8-dnipropetrovsk-ukraine/village-60
61,dovzhenko-gorodok-lviv-ukraine,Dovzhenko/Gorodok,Ukraine,49.477951,23.442240,,0,1,http://www.yahadmap.org/en/dovzhenko-gorodok-lviv-ukraine/village-61
61,dovzhenko-gorodok-lviv-ukraine,Dovzhenko/Gorodok,Ukraine,49.477779,23.442430,,0,1,http://www.yahadmap.org/en/dovzhenko-gorodok-lviv-ukraine/village-61
61,dovzhenko-gorodok-lviv-ukraine,Dovzhenko/Gorodok,Ukraine,49.478069,23.442030,,0,1,http://www.yahadmap.org/en/dovzhenko-gorodok-lviv-ukraine/village-61
62,drohobych-lviv-ukraine,Drohobych,Ukraine,49.244652,23.269501,2005,0,3,http://www.yahadmap.org/en/drohobych-lviv-ukraine/village-62
63,druzhkivka-druzhkovka-donetsk-ukraine,Druzhkivka (Druzhkovka),Ukraine,48.374458,37.316910,,0,1,http://www.yahadmap.org/en/druzhkivka-druzhkovka-donetsk-ukraine/village-63
63,druzhkivka-druzhkovka-donetsk-ukraine,Druzhkivka (Druzhkovka),Ukraine,48.376598,37.321369,,0,1,http://www.yahadmap.org/en/druzhkivka-druzhkovka-donetsk-ukraine/village-63
64,dubno-rivne-ukraine,Dubno,Ukraine,50.251980,25.435820,,0,2,http://www.yahadmap.org/en/dubno-rivne-ukraine/village-64
64,dubno-rivne-ukraine,Dubno,Ukraine,50.237301,25.470520,,0,3,http://www.yahadmap.org/en/dubno-rivne-ukraine/village-64
64,dubno-rivne-ukraine,Dubno,Ukraine,50.249969,25.451929,,0,2,http://www.yahadmap.org/en/dubno-rivne-ukraine/village-64
64,dubno-rivne-ukraine,Dubno,Ukraine,50.244499,25.427490,,0,2,http://www.yahadmap.org/en/dubno-rivne-ukraine/village-64
64,dubno-rivne-ukraine,Dubno,Ukraine,50.255360,25.420481,,0,3,http://www.yahadmap.org/en/dubno-rivne-ukraine/village-64
65,dunayivtsi-dunaivtsi-khmelnytskyi-ukraine,Dunayivtsi (Dunaivtsi),Ukraine,48.534290,26.504339,,0,1,http://www.yahadmap.org/en/dunayivtsi-dunaivtsi-khmelnytskyi-ukraine/village-65
